"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Thu","Tue","Wed","year","temp","max","min","collisions"
"61",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2012,59,66.2,53.1,562
"62",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2012,62,72,46,593
"63",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2012,67.7,75.9,62.6,404
"64",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2012,69,73.9,55.4,620
"65",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2012,65.2,69.1,51.8,703
"66",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,60.6,70,53.1,555
"67",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,63.7,70,60.1,593
"68",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,65.6,73,62.6,502
"69",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2012,68.6,73.4,62.6,554
"70",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,67.8,78.1,60.8,693
"71",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,49.9,55.9,44.1,376
"72",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,53.8,57.2,50,570
"73",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,58.2,64.9,53.1,640
"74",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2012,53.4,62.6,46.9,657
"75",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2012,51.2,62.6,48,594
"76",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2012,65.3,71.1,61,607
"77",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2012,55.8,64,50,602
