date,wban,f0_
2020-10-02,04724,9.7
2020-10-02,64761,10
2020-10-02,94725,6.7
2020-10-02,14747,8.7
2020-10-02,04725,9.7
2020-10-02,94790,9.3
2020-10-02,94745,9.8
2020-10-02,54790,10
2020-10-02,54778,9.8
2020-10-02,64775,9.8
2020-10-02,00465,7.5
2020-10-02,54780,999.9
2020-10-02,94740,7.3
2020-10-02,14719,10
2020-10-02,54757,9.6
2020-10-02,14768,9.5
2020-10-02,14771,10
2020-10-02,14757,9.9
2020-10-02,54746,9.8
2020-10-02,04781,10
2020-10-02,54773,9.5
2020-10-02,14732,10
2020-10-01,64758,999.9
2020-10-01,14714,10
2020-10-01,54757,10
2020-10-01,14747,8.9
2020-10-01,94761,10
2020-10-01,14732,10
2020-10-01,94745,10
2020-10-01,04741,13.2
2020-10-01,04781,10
2020-10-01,64775,10
2020-10-01,54780,999.9
2020-10-01,14757,10
2020-10-01,64761,10
2020-10-01,94790,9.3
2020-10-01,94725,9.5
2020-10-01,00465,10
2020-10-01,54773,10
2020-10-01,14771,9.8
2020-10-01,99999,295.32138076787538
2020-10-01,94740,9.5
2020-10-01,14733,9.9
2020-10-01,04724,10
2020-10-01,64776,10
2020-10-01,54790,10
2020-10-01,14750,10
2020-10-01,94704,9.9
2020-10-01,04789,10
2020-10-01,94728,10
2020-10-01,64756,999.9
2020-10-01,14735,10
2020-10-01,04725,10
2020-10-01,94789,10
2020-10-01,14719,10
2020-10-01,54746,10
2020-10-01,54787,10
2020-10-01,14768,9.9
2020-10-01,04720,9.9
2020-10-01,14748,10
2020-10-01,14715,9.6
2020-10-01,54778,10
2020-09-30,99999,314.47996608253061
2020-09-30,94728,7.2
2020-09-30,54746,8.5
2020-09-30,04741,10.5
2020-09-30,14714,7.9
2020-09-30,00465,8.9
2020-09-30,04720,9.9
2020-09-30,64776,8
2020-09-30,94725,7.9
2020-09-30,04725,5.9
2020-09-30,94740,7.3
2020-09-30,14733,7.8
2020-09-30,54790,8.3
2020-09-30,54787,9.3
2020-09-30,64756,999.9
2020-09-30,54780,999.9
2020-09-30,54757,7.6
2020-09-30,14771,8.7
2020-09-30,14732,9
2020-09-30,54778,9
2020-09-30,54773,7.4
2020-09-30,14750,7.4
2020-09-30,14735,7
2020-09-30,14768,8.6
2020-09-30,04789,8.7
2020-09-30,94790,9.2
2020-09-30,04781,8.8
2020-09-30,14748,8.9
2020-09-30,94761,8.8
2020-09-30,14757,9
2020-09-30,14747,8.9
2020-09-30,14715,9.3
2020-09-30,64758,999.9
2020-09-30,64761,9.5
2020-09-30,94745,7.3
2020-09-30,94704,9
2020-09-30,14719,9.7
2020-09-30,94789,9.5
2020-09-30,64775,9.2
2020-09-30,04724,8.8
2020-09-29,99999,317.41814484239359
2020-09-29,64758,999.9
2020-09-29,04741,10
2020-09-29,00465,9.4
2020-09-29,14714,7.5
2020-09-29,54757,8.8
2020-09-29,54746,8.4
2020-09-29,14719,9.6
2020-09-29,94704,9.8
2020-09-29,94725,9.3
2020-09-29,64761,8.9
2020-09-29,54780,999.9
2020-09-29,54787,10
2020-09-29,54778,8.6
2020-09-29,54773,8.9
2020-09-29,64775,8.3
2020-09-29,94728,8.4
2020-09-29,94790,9
2020-09-29,64776,9.1
2020-09-29,14748,7.9
2020-09-29,54790,9.3
2020-09-29,94740,8.4
2020-09-29,94745,7.4
2020-09-29,14747,9.4
2020-09-29,04781,10
2020-09-29,14757,8
2020-09-29,14735,10
2020-09-29,14750,10
2020-09-29,04724,9.8
2020-09-29,14715,9.8
2020-09-29,64756,999.9
2020-09-29,14733,9.8
2020-09-29,14771,8.8
2020-09-29,14768,9.6
2020-09-29,04720,9.5
2020-09-29,94789,9.6
2020-09-29,04789,9.7
2020-09-29,94761,8.5
2020-09-29,04725,7.1
2020-09-29,14732,9.5
2020-09-28,04741,9.6
2020-09-28,00465,10
2020-09-28,14750,7.8
2020-09-28,94789,7.2
2020-09-28,14735,7.3
2020-09-28,94740,10
2020-09-28,94704,10
2020-09-28,14771,10
2020-09-28,94725,9.7
2020-09-28,54780,999.9
2020-09-28,04724,10
2020-09-28,54773,10
2020-09-28,64756,999.9
2020-09-28,94761,10
2020-09-28,54778,10
2020-09-28,54757,10
2020-09-28,14714,8.5
2020-09-28,14757,9.6
2020-09-28,14733,10
2020-09-28,94728,8.5
2020-09-28,64775,9.6
2020-09-28,99999,314.68714463698933
2020-09-28,54787,7.8
2020-09-28,04789,8.6
2020-09-28,64758,999.9
2020-09-28,64761,6.5
2020-09-28,54790,7.8
2020-09-28,04720,10
2020-09-28,14748,9.8
2020-09-28,14715,10
2020-09-28,14747,10
2020-09-28,94790,10
2020-09-28,04725,9
2020-09-28,94745,6.5
2020-09-28,14768,10
2020-09-28,54746,8.3
2020-09-28,14732,8.6
2020-09-28,14719,7.8
2020-09-28,64776,9.3
2020-09-28,04781,7.9
2020-09-27,54746,9.8
2020-09-27,94728,9.3
2020-09-27,54787,8.8
2020-09-27,04741,14.6
2020-09-27,64761,8
2020-09-27,94745,6.9
2020-09-27,04781,7.1
2020-09-27,04789,9.6
2020-09-27,14732,10
2020-09-27,94761,10
2020-09-27,14750,10
2020-09-27,14733,10
2020-09-27,14747,10
2020-09-27,64756,999.9
2020-09-27,14757,9.6
2020-09-27,54790,6.7
2020-09-27,54757,10
2020-09-27,54773,10
2020-09-27,94740,10
2020-09-27,94704,10
2020-09-27,00465,9.9
2020-09-27,14768,10
2020-09-27,14715,10
2020-09-27,99999,323.65745269958393
2020-09-27,04725,6.9
2020-09-27,14748,9
2020-09-27,64775,10
2020-09-27,94789,10
2020-09-27,04720,9.7
2020-09-27,14735,10
2020-09-27,14771,10
2020-09-27,94790,10
2020-09-27,64776,10
2020-09-27,64758,999.9
2020-09-27,54778,10
2020-09-27,14719,6.7
2020-09-27,14714,10
2020-09-27,54780,999.9
2020-09-27,94725,10
2020-09-27,04724,10
2020-09-26,00465,10
2020-09-26,04781,8.8
2020-09-26,14735,8
2020-09-26,64776,9.5
2020-09-26,14733,10
2020-09-26,14771,10
2020-09-26,64758,999.9
2020-09-26,94789,9.8
2020-09-26,54780,999.9
2020-09-26,94740,7.9
2020-09-26,94790,8.9
2020-09-26,14757,8.4
2020-09-26,54787,9.3
2020-09-26,54790,7.9
2020-09-26,04720,9.4
2020-09-26,94728,9.4
2020-09-26,94725,9.6
2020-09-26,94704,10
2020-09-26,94745,4.6
2020-09-26,14747,9.8
2020-09-26,99999,323.80620626362219
2020-09-26,14714,8.5
2020-09-26,64761,9.4
2020-09-26,54746,6.8
2020-09-26,04724,9.5
2020-09-26,14715,10
2020-09-26,64756,999.9
2020-09-26,04741,11.6
2020-09-26,14719,7.6
2020-09-26,54778,10
2020-09-26,14750,6
2020-09-26,14748,8.5
2020-09-26,04789,6.2
2020-09-26,14768,9.7
2020-09-26,54773,9.2
2020-09-26,14732,9.4
2020-09-26,54757,9.7
2020-09-26,64775,9.7
2020-09-26,94761,9.8
2020-09-26,04725,8
2020-09-25,99999,317.19743763404222
2020-09-25,00465,8.9
2020-09-25,54757,7.7
2020-09-25,54778,9.8
2020-09-25,04724,9.5
2020-09-25,94789,8.9
2020-09-25,64775,9.5
2020-09-25,04725,9.3
2020-09-25,14771,9.2
2020-09-25,64756,999.9
2020-09-25,14768,10
2020-09-25,64776,10
2020-09-25,14750,8.4
2020-09-25,14757,9.7
2020-09-25,14748,8.8
2020-09-25,94740,7.1
2020-09-25,64761,8.6
2020-09-25,54787,9.9
2020-09-25,14733,10
2020-09-25,94728,8.2
2020-09-25,04781,5.8
2020-09-25,54790,5.3
2020-09-25,54773,6.7
2020-09-25,54746,7.5
2020-09-25,94745,7.8
2020-09-25,94761,9.5
2020-09-25,14715,9.7
2020-09-25,14732,9.5
2020-09-25,64758,999.9
2020-09-25,04741,11
2020-09-25,14714,9.5
2020-09-25,94704,10
2020-09-25,94725,9.9
2020-09-25,94790,10
2020-09-25,14735,9
2020-09-25,54780,999.9
2020-09-25,14747,9.9
2020-09-25,14719,5.7
2020-09-25,04789,7.1
2020-09-25,04720,6.8
2020-09-24,99999,316.40629717246952
2020-09-24,94790,8.9
2020-09-24,14747,10
2020-09-24,54757,9.9
2020-09-24,94789,10
2020-09-24,54778,10
2020-09-24,04725,9.5
2020-09-24,64758,999.9
2020-09-24,14715,9.9
2020-09-24,14748,10
2020-09-24,64761,10
2020-09-24,64776,10
2020-09-24,94761,9.7
2020-09-24,00465,10
2020-09-24,64756,999.9
2020-09-24,04741,10.8
2020-09-24,54773,8
2020-09-24,64775,9.9
2020-09-24,54790,9.8
2020-09-24,94704,10
2020-09-24,14771,9.9
2020-09-24,54787,10
2020-09-24,94745,10
2020-09-24,14733,10
2020-09-24,54780,999.9
2020-09-24,14757,9.9
2020-09-24,14750,8.3
2020-09-24,14719,10
2020-09-24,14768,9.7
2020-09-24,54746,9.6
2020-09-24,04781,10
2020-09-24,04724,8
2020-09-24,14714,10
2020-09-24,14735,10
2020-09-24,14732,10
2020-09-24,94728,10
2020-09-24,94725,7.4
2020-09-24,94740,7
2020-09-24,04789,10
2020-09-24,04720,9.2
2020-09-23,99999,315.35499548940146
2020-09-23,64758,999.9
2020-09-23,04741,12.5
2020-09-23,94740,10
2020-09-23,94790,10
2020-09-23,14768,10
2020-09-23,14750,10
2020-09-23,04789,10
2020-09-23,54746,10
2020-09-23,64776,10
2020-09-23,14733,10
2020-09-23,94789,10
2020-09-23,14719,10
2020-09-23,04781,10
2020-09-23,54757,10
2020-09-23,54778,9.9
2020-09-23,14715,10
2020-09-23,00465,10
2020-09-23,64775,10
2020-09-23,94728,10
2020-09-23,54787,10
2020-09-23,14714,10
2020-09-23,14735,10
2020-09-23,64761,10
2020-09-23,14771,10
2020-09-23,04720,10
2020-09-23,94761,10
2020-09-23,54790,10
2020-09-23,04724,10
2020-09-23,04725,10
2020-09-23,64756,999.9
2020-09-23,14747,10
2020-09-23,54773,10
2020-09-23,14757,10
2020-09-23,14748,10
2020-09-23,54780,999.9
2020-09-23,14732,10
2020-09-23,94745,10
2020-09-23,94725,10
2020-09-23,94704,10
2020-09-22,99999,315.51853273137738
2020-09-22,64758,999.9
2020-09-22,04741,12.1
2020-09-22,14735,9.5
2020-09-22,14732,10
2020-09-22,14719,10
2020-09-22,04725,10
2020-09-22,94728,10
2020-09-22,94740,7.7
2020-09-22,04720,10
2020-09-22,54780,999.9
2020-09-22,64776,10
2020-09-22,14714,8.5
2020-09-22,00465,7.9
2020-09-22,14757,9.6
2020-09-22,64775,10
2020-09-22,14748,10
2020-09-22,54773,10
2020-09-22,94789,10
2020-09-22,14771,10
2020-09-22,54787,10
2020-09-22,04781,10
2020-09-22,54790,10
2020-09-22,64756,999.9
2020-09-22,64761,10
2020-09-22,54746,10
2020-09-22,04724,10
2020-09-22,94745,10
2020-09-22,14747,10
2020-09-22,14750,9.4
2020-09-22,14715,9.3
2020-09-22,54778,10
2020-09-22,94725,9.8
2020-09-22,54757,10
2020-09-22,94704,10
2020-09-22,14768,10
2020-09-22,94761,10
2020-09-22,94790,10
2020-09-22,04789,10
2020-09-22,14733,10
2020-09-21,00465,9.4
2020-09-21,54790,10
2020-09-21,04720,10
2020-09-21,14732,10
2020-09-21,14719,10
2020-09-21,04781,10
2020-09-21,14771,10
2020-09-21,04725,10
2020-09-21,04741,13.8
2020-09-21,94725,9.6
2020-09-21,94728,10
2020-09-21,14747,10
2020-09-21,14714,13.3
2020-09-21,94790,10
2020-09-21,94704,10
2020-09-21,14733,10
2020-09-21,64776,10
2020-09-21,14735,9.5
2020-09-21,54780,999.9
2020-09-21,14768,10
2020-09-21,64761,10
2020-09-21,54778,10
2020-09-21,94789,10
2020-09-21,99999,314.84647045557142
2020-09-21,64756,999.9
2020-09-21,04724,10
2020-09-21,64775,10
2020-09-21,54787,10
2020-09-21,14715,9.2
2020-09-21,64758,999.9
2020-09-21,94761,10
2020-09-21,54746,10
2020-09-21,94740,8.4
2020-09-21,14748,9.7
2020-09-21,14750,9.8
2020-09-21,54757,10
2020-09-21,54773,10
2020-09-21,94745,10
2020-09-21,14757,10
2020-09-21,04789,10
2020-09-20,64758,999.9
2020-09-20,00465,10
2020-09-20,54790,10
2020-09-20,54773,10
2020-09-20,54787,10
2020-09-20,14748,10
2020-09-20,14719,10
2020-09-20,14768,10
2020-09-20,64775,10
2020-09-20,94704,10
2020-09-20,14747,10
2020-09-20,94790,10
2020-09-20,14714,12.5
2020-09-20,94761,10
2020-09-20,54780,999.9
2020-09-20,04789,10
2020-09-20,14750,10
2020-09-20,94725,10
2020-09-20,14733,10
2020-09-20,94740,10
2020-09-20,99999,321.62770076755515
2020-09-20,04741,14.3
2020-09-20,64761,10
2020-09-20,14732,10
